微博正文
#一起出游吧# 五一出游拍照 pose秘诀：46度抬头看镜头，妹妹们学fei了嘛  [组图共3张] 原图 
#电视剧长歌行# 长歌，怎么有两副面孔  [组图共2张] 原图 
#idoltube# “我替你挨这一刀，无非就是如今大唐，离不开杜如晦。”长歌，她真的是在一路颠沛一路成长…… Dear-迪丽热巴的微博视频  
今晚成团夜！@创造营2021-周柯宇 加油冲🦆！为你撑腰  [组图共2张] 原图 
#idoltube# 大唐已无长歌，改名阿离，对于长歌是新的开始，是一段充满“悟”与“感”的旅程……大道无为，兼济苍生，长歌也终于顿悟了何为正确的“道” Dear-迪丽热巴的微博视频  
哎 就是玩儿  [组图共6张] 原图 
#电视剧长歌行# 只要我暂停的够及时，箭就追不上长歌  原图 
听说北京今天风很大，不如把羽绒服(几百年前的照片)拿出来吧 绿洲  [组图共2张] 原图 
#电视剧长歌行# 长歌终于穿女装了  原图 
#idoltube##李长歌大局观# 曾经的长歌，心中充满了恨、怨、怒……逃离长安，一路成长，才发现心里唯一不可被撼动的目标便是守护大唐安宁。无论身处何处，长歌永远“是大唐的子民。” Dear-迪丽热巴的微博视频  
#电视剧长歌行# 长歌已经在加班绣荷包了🙃，这双拿惯了刀箭的手确实对针线活有点生疏  [组图共3张] 原图 
#电视剧长歌行# dbq，我可能要辜负你了  原图 
长歌牌小可爱来了 绿洲  [组图共3张] 原图 
#微博剧场# 长歌初出长安城，有幸遇见徒儿阿窦与亦师亦友的公孙刺史，同行一程，收获万千，却都无法一起再并肩作战。心疼再一次面对离别的长歌，长歌真的好无力，求轻虐…… #长歌被虐得太惨了# Dear-迪丽热巴的微博视频  
#冲浪吧星同事# #电视剧长歌行#大唐最强·心脏李长歌在此，静候诸位！ Dear-迪丽热巴的微博直播  
一切都在逼着你快快成长啊长歌歌你们看了不  
#idoltube# #李长歌阿窦师徒情太好哭了# 阿窦，感谢你给了长歌温情和信心。你是窦大将军，整个大唐的英雄，下一世我们还做师徒，等着窦大将军凯旋！ Dear-迪丽热巴的微博视频  
#微博剧场# 李长歌无坚不摧的原因找到了……听说李长歌今晚又要被扎心了，默默佩服一下她的强心脏  [组图共6张] 原图 
各位妹妹 眼熟吗  原图 
#微博剧场# 关关关关关关难过都能过，事事事事事事难成总能成！我是李长歌，人狠话不多！#李长歌狠强惨# Dear-迪丽热巴的微博视频  
#李长歌给阿隼包扎系蝴蝶结# 本人李长歌，人狠话不多，但是手巧。@吴磊LEO  原图 
4月的第一天“没有自拍”呢！  原图 
#李长歌聪明勇敢有力气#，我真的羡慕我自己  [组图共6张] 原图 
#长歌行定档##长歌行唐卷海报#长风绮盛唐，我是李长歌！  原图 
2021 #地球一小时# ，与我一起关注地球生态环境，了解地球生态知识，共同#为地球发声# 吧！ 你知道在大熊猫宽厚的手掌上有几个手指吗？指路@地球一小时 @WWF世界自然基金会 获取答案。  [组图共2张] 原图 
#快乐大本营# 今晚前方温馨提示：音量🎺调低  [组图共2张] 原图 
你的青春关键词是什么？我先来，青春就要野一点！很高兴成为@统一冰红茶_青春无极限 品牌代言人，#加入迪丽热巴的青春战队#，一起冰爽畅快，热爱到底，#不野不青春#！ Dear-迪丽热巴的微博视频  
无滤镜不自拍的收工图 绿洲  [组图共3张] 原图 
与@路易威登 一同开启新季篇章。即刻预约http://t.cn/A6tYK0LS ，3 月 10 日 21:00，踏上这场#LV秋冬21女装秀# 之旅。 Dear-迪丽热巴的微博视频  
#学雷锋文艺志愿服务#重温雷锋日记，书写新时代雷锋故事。我是#文艺志愿者#迪丽热巴，3月5日是学雷锋纪念日，在学雷锋纪念日即将到来之际，我想为您朗读一篇雷锋日记。 Dear-迪丽热巴的微博视频  
不仅肚子会饿，身体也会饿哦~皮肤饿了会出现细纹，抵御力饿了会体弱怕冷，骨骼饿了会腿酸。让肚子吃饱的同时，不要忘了给身体补充营养。我和 @Swisse斯维诗 为大家准备了身体的营养料理，快来跟我越吃越美吧！#斯维诗越吃越美#Swisse斯维诗的微博视频  
明星动态  
2020#微博之夜#盛典即将开启，以微博之力，让世界更美。@微博之夜 我来啦！  原图 
风格自由从@路易威登 2021 春夏新品  COUSSIN 抱抱包开始。快和我一起，用它开启优雅又有型的穿搭方式吧。  [组图共4张] 原图 
#电视剧与君初相识# 摸摸头，一切都会好的。@驭鲛记之与君初相识 #与君初相识官宣#  原图 
大家都放完假了吧 都醒醒 去上班吧  [组图共5张] 原图 
#北京台春晚##春晚#第一次演小品，给我整的老紧张了，老铁们看着可还开心不？  北京台春晚的微博视频  
#春晚##牛年如意#祝你们万事顺意，身体健康，平安幸福～  [组图共6张] 原图 
2021年的自拍已经上交完毕  [组图共2张] 原图 
追梦生长，热力无限！我是@腾讯视频 代言人迪丽热巴，#新年新气象 犇赴好时光#祝大家“迪”（底）气十足！快和我一起成为腾讯视频VIP会员，发现更多好时光吧！#腾讯视频代言人#来和我聊聊你在腾讯视频最爱的内容呀  原图 
每一件珠宝的美学之力都不容小觑。 佩戴上@路易威登 #LV VOLT# 高级珠宝系列，挡不住的闪耀光芒～  原图 
#和平精英代言人贺岁大片# 牛年到啦~特种兵们年货备齐了吗？我这里有物资！新的一年跟着我备好能量，一起闪亮进圈！#迪丽热巴分享新年物资#@和平精英 新年吉合，大吉大利！  原图 
新的一年，当然要继续轻松美丽啦！和 @飘柔Rejoice 一起，每天进步一点点，成为更好的自己！#只要上场就要漂亮#，我们一起加油！ Dear-迪丽热巴的微博视频  
感谢金安影业的邀请，过年想拍一张有故事的照片？想经历一次不一样的体验？那和我一起感受下，飞向太空怎么样？快来看我的微电影#造相馆#，我和@安慕希 在这里恭贺新年，万福金安！🏮 新浪电影的微博视频  
#最美表演# 用无声的告白致敬勇敢，《约会》正片来咯～“我喜欢你很久了，你喜欢我吗？”最美表演的微博视频  
春节假期说到就到，戳视频，Get我和@雀巢咖啡中国 送给大家的吉祥祝福！祝你学业丝滑收获“榛”才实学，抢红包手速丝滑不卡，聊天丝滑拜年祝福甜甜哒….事事如意，万事丝滑！新年，快搜同款丝滑拿铁，跟我一起把丝滑好运带回家～#祝你万事皆丝滑# Dear-迪丽热巴的微博视频  
#你是我的荣耀杀青# 乔晶晶杀青啦～感谢于老师的棉花糖@杨洋 ，乔晶晶终于摘到棉花了  原图 
#北京台春晚##迪丽热巴北京春晚代言人# 含苞待放盼春来，迎接新春花盛开！大年初一19:30，@北京台春晚 我来了  原图 
穿搭要新意，选它不出错～超显腿长的时髦装备，@路易威登 Archlight 运动鞋，轻便又舒适的颜值担当。再背上一只 SINCE 1854 系列中国限定款手袋，奇趣十足～  [组图共4张] 原图 
勇士，你还记得勇者大陆吗？ @荣耀大天使 今日燃情公测，和我一起体验#荣耀大天使#为所欲为，畅快游戏的快乐！我在这里等你！前往集结：荣耀大天使  
2020年最后一张自拍#一张照片告别2020#，#2020我想对你说#希望大家都能健康平安，开开心心～ 绿洲  原图 
1664礼享季倒计时，大家想好去哪「礼」玩了吗？由1664打造的节日巴黎小镇即将梦幻降临，关注@凯旋1664 第一时间GET新动态，与我一起#礼享玩味此刻#，相约节日不见不散～  原图 
手感超级柔软的它，是什么神仙鞋履～@路易威登 Pillow Shoes 云朵鞋，百搭又保暖，怕冷女孩一本满足～  原图 
感谢人民文创和中国文化传媒新文创IP平台的邀请，我很荣幸作为福气星推官为大家送去祝福，祝大家新年快乐，牛运当头！福气驾到，邮你一起，传承传统文化，共迎牛年新春！ Dear-迪丽热巴的微博视频  
把我最爱的圣诞限量#YSL反转巴黎# 送给你们，让这份特别的#YSL圣诞礼物# 在甜美浪漫的香气中，野性登场。你们喜欢吗?  [组图共3张] 原图 
从心选择，用心热爱！恭喜《三生三世枕上书》《幸福！触手可及》入围2020年微博第五届#电视剧大赏#人气剧集，谢谢大家对白凤九和周放的支持与喜爱，也可以期待下李长歌和乔晶晶啦～ 绿洲  [组图共2张] 原图 
早上好～来分享我的彩虹营养早餐啦，来自水果麦片专家品牌@吃个彩虹官方微博 健康好吃又不怕胖的水果麦片，是我每天元气满满的小秘密！要记得好好吃早餐哟，和我一起吃个彩虹吧～#迪丽热巴吃个彩虹#  [组图共4张] 原图 
确认过花纹，是搭配力满分的@路易威登 2021 早春系列 Vanity 小号手袋！轻松上阵，解锁多元穿搭；叠加趣味，跟我一起GAME ON吧～  [组图共2张] 原图 
#和平精英代言人天团#遇事不要慌，P城一起刚这次换我来给大家补给能量！11月15日，2020和平精英国际冠军杯现场见～@和平精英 特种兵，集合，到我这里来！  原图 
给大家分享我的@Swisse斯维诗 变美好物，吃出透亮Q弹好状态，美丽由内而外养出来～这次斯维诗准备了超多惊喜，快来 Get我的同款变美好物吧！#斯维诗越吃越美# Swisse斯维诗的微博视频  
让自己每天都充满浪漫甜美的味道，也是一种生活仪式感。希望大家都能拥有我的挚爱香水#YSL反转巴黎#我在YSL声色狂欢派对等你们来哦～  原图 
不管多忙，都要记得宠爱自己哦！小娇@法国娇韵诗 举办的娇家双11年度盛典要来啦，无数福利等着你～戳http://t.cn/A6bHbyY0抓紧囤货吧！在小娇的呵护下，我们都是当植无愧的美少女哦！#1111淘金红人悬赏##敢红耀宠，当植无愧# Dear-迪丽热巴的微博视频  
点燃自己全情演绎，向极致全力以赴！这很@奥迪！这很#奥迪RS#！我是奥迪RS形象大使 迪丽热巴10月20日，#天性使燃#奥迪高性能新品发布会与#奥迪RS#一起尝试全新挑战！享受我的超燃时刻！  原图 
 秋天的第一杯“奶茶”上线了。跟着@奶茶旅拍 一起走遍世界，去到最美的地方，记录最美的样子。边度假，边旅拍，奶茶旅拍。#迪丽热巴奶茶旅拍# 奶茶旅拍的微博视频  
